处理时间: 2025-10-21 16:50:59
================================================================================
Base PCFG Grammar统计分布
================================================================================
语法规则 (self.G['G']):
  D1                   | 频率: 29       | 概率: 0.000002
  D1,D1,W1,D2          | 频率: 20       | 概率: 0.000001
  D1,D1,W1,W2          | 频率: 13       | 概率: 0.000001
  D1,D1,W1,W3          | 频率: 20       | 概率: 0.000001
  D1,D1,W2             | 频率: 21       | 概率: 0.000001
  D1,D1,W2,W2,W3       | 频率: 13       | 概率: 0.000001
  D1,D1,W2,W7          | 频率: 31       | 概率: 0.000002
  D1,D1,W3             | 频率: 605      | 概率: 0.000042
  D1,D1,W3,T           | 频率: 10       | 概率: 0.000001
  D1,D1,W3,W1          | 频率: 14       | 概率: 0.000001
  D1,D1,W4             | 频率: 946      | 概率: 0.000066
  D1,D1,W5             | 频率: 696      | 概率: 0.000049
  D1,D1,W6             | 频率: 746      | 概率: 0.000052
  D1,D1,W7             | 频率: 182      | 概率: 0.000013
  D1,G                 | 频率: 2        | 概率: 0.000000
  D1,W1,D1,W1          | 频率: 81       | 概率: 0.000006
  D1,W1,D1,W1,D1,W1    | 频率: 24       | 概率: 0.000002
  D1,W1,D1,W1,D1,W1,D1,W1 | 频率: 42       | 概率: 0.000003
  D1,W1,D1,W1,W2       | 频率: 1240     | 概率: 0.000087
  D1,W1,D1,W1,W2,D1    | 频率: 52       | 概率: 0.000004
  D1,W1,D1,W1,W2,D1,W1 | 频率: 355      | 概率: 0.000025
  D1,W1,D1,W1,W2,D1,W1,D1 | 频率: 15       | 概率: 0.000001
  D1,W1,D1,W1,W2,D1,W1,D1,W1 | 频率: 82       | 概率: 0.000006
  D1,W1,D1,W1,W2,D1,W1,D1,W1,D1,W1 | 频率: 26       | 概率: 0.000002
  D1,W1,D1,W1,W2,D1,W1,D1,W1,D1,W1,D1 | 频率: 12       | 概率: 0.000001
  D1,W1,D1,W1,W2,D1,W1,D1,W1,D1,W1,D1,W1 | 频率: 39       | 概率: 0.000003
  D1,W1,D1,W1,W2,D1,W1,D1,W1,D1,W1,D1,W1,D1,W2 | 频率: 45       | 概率: 0.000003
  D1,W1,D1,W2          | 频率: 1293     | 概率: 0.000090
  D1,W1,D1,W2,D1       | 频率: 73       | 概率: 0.000005
  D1,W1,D1,W2,D1,W1    | 频率: 14       | 概率: 0.000001
  D1,W1,D1,W2,W1       | 频率: 19       | 概率: 0.000001
  D1,W1,D1,W3          | 频率: 74       | 概率: 0.000005
  D1,W1,D1,W3,D1       | 频率: 20       | 概率: 0.000001
  D1,W1,W1,W2          | 频率: 11       | 概率: 0.000001
  D1,W1,W1,W2,D1,W1    | 频率: 17       | 概率: 0.000001
  D1,W1,W1,W3          | 频率: 136      | 概率: 0.000010
  D1,W1,W2             | 频率: 45       | 概率: 0.000003
  D1,W1,W2,D1,W1       | 频率: 29       | 概率: 0.000002
  D1,W1,W2,W2          | 频率: 10       | 概率: 0.000001
  D1,W1,W3             | 频率: 618      | 概率: 0.000043
  D1,W1,W3,W1          | 频率: 33       | 概率: 0.000002
  D1,W1,W3,W2          | 频率: 13       | 概率: 0.000001
  D1,W1,W4             | 频率: 666      | 概率: 0.000047
  D1,W1,W5             | 频率: 151      | 概率: 0.000011
  D1,W1,W6             | 频率: 137      | 概率: 0.000010
  D1,W1,W9             | 频率: 10       | 概率: 0.000001
  D1,W1,Y1,W1,Y1,W1    | 频率: 11       | 概率: 0.000001
  D1,W2                | 频率: 23       | 概率: 0.000002
  D1,W2,D1,W2          | 频率: 50       | 概率: 0.000003
  D1,W2,D1,W3          | 频率: 10       | 概率: 0.000001
  D1,W2,D1,W4          | 频率: 23       | 概率: 0.000002
  D1,W2,D1,W5          | 频率: 92       | 概率: 0.000006
  D1,W2,D2             | 频率: 90       | 概率: 0.000006
  D1,W2,D3             | 频率: 15       | 概率: 0.000001
  D1,W2,W1             | 频率: 259      | 概率: 0.000018
  D1,W2,W1,D2,W1,D1,W1,W1 | 频率: 10       | 概率: 0.000001
  D1,W2,W1,W1          | 频率: 40       | 概率: 0.000003
  D1,W2,W1,W2          | 频率: 121      | 概率: 0.000008
  D1,W2,W1,W4          | 频率: 16       | 概率: 0.000001
  D1,W2,W2             | 频率: 2218     | 概率: 0.000155
  D1,W2,W2,D1          | 频率: 11       | 概率: 0.000001
  D1,W2,W2,D1,W3       | 频率: 88       | 概率: 0.000006
  D1,W2,W3             | 频率: 1050     | 概率: 0.000073
  D1,W2,W4             | 频率: 197      | 概率: 0.000014
  D1,W2,W5             | 频率: 82       | 概率: 0.000006
  D1,W2,Y1,W2          | 频率: 14       | 概率: 0.000001
  D1,W3                | 频率: 1112     | 概率: 0.000078
  D1,W3,D1             | 频率: 477      | 概率: 0.000033
  D1,W3,D1,W1          | 频率: 22       | 概率: 0.000002
  D1,W3,D1,W1,W3       | 频率: 10       | 概率: 0.000001
  D1,W3,D1,W2          | 频率: 126      | 概率: 0.000009
  D1,W3,D1,W2,W2       | 频率: 16       | 概率: 0.000001
  D1,W3,D1,W3          | 频率: 269      | 概率: 0.000019
  D1,W3,D1,W5          | 频率: 38       | 概率: 0.000003
  D1,W3,D1,W6          | 频率: 51       | 概率: 0.000004
  D1,W3,D2             | 频率: 85       | 概率: 0.000006
  D1,W3,W1             | 频率: 1614     | 概率: 0.000113
  D1,W3,W1,W3          | 频率: 61       | 概率: 0.000004
  D1,W3,W2             | 频率: 921      | 概率: 0.000064
  D1,W3,W2,W1          | 频率: 12       | 概率: 0.000001
  D1,W3,W2,W3          | 频率: 13       | 概率: 0.000001
  D1,W3,W2,W5          | 频率: 11       | 概率: 0.000001
  D1,W3,W3             | 频率: 1475     | 概率: 0.000103
  D1,W3,W4             | 频率: 444      | 概率: 0.000031
  D1,W3,W6             | 频率: 27       | 概率: 0.000002
  D1,W3,Y1             | 频率: 24       | 概率: 0.000002
  D1,W4                | 频率: 14593    | 概率: 0.001020
  D1,W4,D1             | 频率: 138      | 概率: 0.000010
